"STATION","NAME","DATE","AWND","PGTM","PRCP","SNOW","SNWD","TAVG","TMAX","TMIN","WDF2","WDF5","WSF2","WSF5"
"USW00026411","FAIRBANKS INTERNATIONAL AIRPORT, AK US","2024-12-27","1.57"," 1303","0.00","0.2","22.8","5","8","-3","   30","   30","6.9","8.9"
"USW00026411","FAIRBANKS INTERNATIONAL AIRPORT, AK US","2024-12-28","2.01"," 1409","0.00","0.1","22.8","7","10","-8","  200","  200","14.1","17.0"
"USW00026411","FAIRBANKS INTERNATIONAL AIRPORT, AK US","2024-12-29","3.13"," 1522","0.00","0.0","22.8","-10","0","-26","   40","   50","10.1","11.0"
"USW00026411","FAIRBANKS INTERNATIONAL AIRPORT, AK US","2024-12-30","2.24"," 1102","0.00","0.0","22.0","-19","-14","-23","   20","   50","6.9","8.9"
"USW00026411","FAIRBANKS INTERNATIONAL AIRPORT, AK US","2024-12-31","0.22"," 0247","0.00","0.0","22.0","-17","-15","-21","   40","  160","4.9","6.9"
"USW00026411","FAIRBANKS INTERNATIONAL AIRPORT, AK US","2025-01-01","0.22"," 1443","0.00","0.0","22.0","-20","-19","-29","  310","  310","4.9","4.9"
"USW00026411","FAIRBANKS INTERNATIONAL AIRPORT, AK US","2025-01-02","0.67"," 2254","0.00","0.0","22.0","-27","-24","-36","  170","   20","6.0","6.9"
"USW00026411","FAIRBANKS INTERNATIONAL AIRPORT, AK US","2025-01-03","1.34"," 0534","0.00","0.0","22.0","-32","-28","-38","   30","   20","8.1","8.1"
"USW00026411","FAIRBANKS INTERNATIONAL AIRPORT, AK US","2025-01-04","2.24"," 2359","0.00","0.0","22.0","-34","-12","-38","   20","   30","6.0","6.9"
"USW00026411","FAIRBANKS INTERNATIONAL AIRPORT, AK US","2025-01-05","3.36"," 1952","0.00","0.0","22.0","-13","4","-12","   10","   10","8.9","10.1"
"USW00026411","FAIRBANKS INTERNATIONAL AIRPORT, AK US","2025-01-06","2.01"," 0147","0.00","0.0","22.0","4","20","-3","   40","  280","10.1","13.0"
"USW00026411","FAIRBANKS INTERNATIONAL AIRPORT, AK US","2025-01-07","4.47"," 1008","0.02","0.5","22.0","20","32","10","  210","  200","14.1","19.9"
"USW00026411","FAIRBANKS INTERNATIONAL AIRPORT, AK US","2025-01-08","0.67"," 0416","0.00","0.0","22.0","12","17","-4","   50","   30","6.9","8.9"
"USW00026411","FAIRBANKS INTERNATIONAL AIRPORT, AK US","2025-01-09","3.36"," 2325","0.01","0.1","22.0","5","26","-3","  200","  200","14.1","19.0"
"USW00026411","FAIRBANKS INTERNATIONAL AIRPORT, AK US","2025-01-10","4.47"," 0112","0.00","0.0","22.0","17","18","0","  200","  210","17.0","21.9"
"USW00026411","FAIRBANKS INTERNATIONAL AIRPORT, AK US","2025-01-11","3.80"," 0352","0.00","0.0","22.0","18","35","7","   30","   30","13.0","14.1"
"USW00026411","FAIRBANKS INTERNATIONAL AIRPORT, AK US","2025-01-12","8.95"," 1241","0.00","0.0","22.0","29","47","13","  130","  130","21.9","31.1"
"USW00026411","FAIRBANKS INTERNATIONAL AIRPORT, AK US","2025-01-13","4.03"," 1101","0.00","0.0","20.0","35","42","22","  220","  230","17.0","25.1"
"USW00026411","FAIRBANKS INTERNATIONAL AIRPORT, AK US","2025-01-14","3.80"," 2027","0.00","0.1","20.0","27","30","11","  240","  230","17.0","23.0"
"USW00026411","FAIRBANKS INTERNATIONAL AIRPORT, AK US","2025-01-15","1.79"," 0022","0.00","0.0","20.0","7","14","-17","   50","  200","10.1","13.0"
"USW00026411","FAIRBANKS INTERNATIONAL AIRPORT, AK US","2025-01-16","3.58"," 1649","0.00","0.0","20.0","-15","-9","-22","   30","   40","13.0","16.1"
"USW00026411","FAIRBANKS INTERNATIONAL AIRPORT, AK US","2025-01-17","1.34"," 0001","0.00","0.0","20.0","-8","12","-15","   40","   50","6.9","10.1"
"USW00026411","FAIRBANKS INTERNATIONAL AIRPORT, AK US","2025-01-18","2.01"," 2232","0.00","0.0","20.0","4","13","-4","   40","   40","8.9","10.1"
"USW00026411","FAIRBANKS INTERNATIONAL AIRPORT, AK US","2025-01-19","1.34"," 1400","0.01","0.2","20.0","13","24","9","  290","  260","8.1","8.9"
"USW00026411","FAIRBANKS INTERNATIONAL AIRPORT, AK US","2025-01-20","2.01"," 1842","0.19","2.5","20.0","19","26","5","   20","   20","8.1","8.9"
"USW00026411","FAIRBANKS INTERNATIONAL AIRPORT, AK US","2025-01-21","2.68"," 1241","0.00","0.0","23.0","16","26","6","   30","   20","8.1","12.1"
"USW00026411","FAIRBANKS INTERNATIONAL AIRPORT, AK US","2025-01-22","1.57"," 2016","0.00","0.2","23.0","16","22","7","   30","  170","6.9","8.9"
"USW00026411","FAIRBANKS INTERNATIONAL AIRPORT, AK US","2025-01-23","2.46"," 2153","0.00","0.0","23.0","17","29","10","   10","  290","6.9","8.9"
"USW00026411","FAIRBANKS INTERNATIONAL AIRPORT, AK US","2025-01-24","4.47"," 0754","0.13","0.0","22.0","32","42","28","  230","  230","25.1","38.0"
"USW00026411","FAIRBANKS INTERNATIONAL AIRPORT, AK US","2025-01-25","2.46"," 1121","0.01","0.0","22.0","35","39","33","  270","  270","10.1","14.1"
"USW00026411","FAIRBANKS INTERNATIONAL AIRPORT, AK US","2025-01-26","2.46"," 1239","0.00","0.0","21.0","35","39","28","  340","   50","8.9","11.0"
"USW00026411","FAIRBANKS INTERNATIONAL AIRPORT, AK US","2025-01-27","8.50"," 1712","0.01","0.0","21.0","31","39","10","  260","  250","23.9","35.1"
"USW00026411","FAIRBANKS INTERNATIONAL AIRPORT, AK US","2025-01-28","5.37"," 0216","0.04","0.4","21.0","9","11","-4","  250","  240","14.1","19.0"
"USW00026411","FAIRBANKS INTERNATIONAL AIRPORT, AK US","2025-01-29","7.61"," 0829","0.14","1.3","21.0","-6","-4","-13","  270","  230","13.0","19.0"
"USW00026411","FAIRBANKS INTERNATIONAL AIRPORT, AK US","2025-01-30","2.01"," 0230","0.03","0.3","22.0","-16","-13","-28","  270","  260","8.9","12.1"
"USW00026411","FAIRBANKS INTERNATIONAL AIRPORT, AK US","2025-01-31","0.45"," 0032","0.00","0.0","22.0","-25","-10","-32","   40","   40","6.9","6.9"
"USW00026411","FAIRBANKS INTERNATIONAL AIRPORT, AK US","2025-02-01","1.34",,"0.17","3.0","24.0","-10","3","-10","   10","   10","6.0","6.9"
"USW00026411","FAIRBANKS INTERNATIONAL AIRPORT, AK US","2025-02-02","1.79",,"0.01","0.1","24.0","5","15","3","   50","   50","8.1","8.9"
"USW00026411","FAIRBANKS INTERNATIONAL AIRPORT, AK US","2025-02-03","0.89",,"0.00","0.0","24.0","11","13","-11","   50","  130","6.0","6.0"
"USW00026411","FAIRBANKS INTERNATIONAL AIRPORT, AK US","2025-02-04","1.12",,"0.00","0.2","24.0","-2","11","-13","  200","  210","6.0","6.9"
"USW00026411","FAIRBANKS INTERNATIONAL AIRPORT, AK US","2025-02-05","0.67",,"0.01","0.2","24.0","11","16","9","   10","  150","4.9","6.0"
"USW00026411","FAIRBANKS INTERNATIONAL AIRPORT, AK US","2025-02-06","0.89",,"0.08","1.3","25.2","17","22","16","  130","  130","4.9","6.0"
"USW00026411","FAIRBANKS INTERNATIONAL AIRPORT, AK US","2025-02-07","2.46",,"0.10","1.0","26.0","17","18","-5","  350","  350","8.9","11.0"
"USW00026411","FAIRBANKS INTERNATIONAL AIRPORT, AK US","2025-02-08","6.26",,"0.00","0.0","26.0","0","5","-13","   50","   50","12.1","12.1"
"USW00026411","FAIRBANKS INTERNATIONAL AIRPORT, AK US","2025-02-09","1.57",,"0.00","0.0","24.0","-8","6","-17","   20","   50","6.9","8.1"
"USW00026411","FAIRBANKS INTERNATIONAL AIRPORT, AK US","2025-02-10","0.89",,"0.00","0.0","24.0","-9","9","-16","   10","   30","4.9","4.9"
"USW00026411","FAIRBANKS INTERNATIONAL AIRPORT, AK US","2025-02-11","1.12",,"0.00","0.0","24.0","-6","7","-15","   30","   40","6.9","6.9"
"USW00026411","FAIRBANKS INTERNATIONAL AIRPORT, AK US","2025-02-12","1.12",,"0.00","0.0","24.0","-8","8","-18","   70",,"6.9",
"USW00026411","FAIRBANKS INTERNATIONAL AIRPORT, AK US","2025-02-13","12.53",,"0.00","0.0","24.0","-2","5","-16","   20","   20","23.0","28.0"
"USW00026411","FAIRBANKS INTERNATIONAL AIRPORT, AK US","2025-02-14","8.28",,"0.00","0.0","24.0","4","17","0","   20","   20","17.0","21.0"
"USW00026411","FAIRBANKS INTERNATIONAL AIRPORT, AK US","2025-02-15","1.12",,"0.00","0.0","24.0","1","8","-14","  200","  200","8.1","10.1"
"USW00026411","FAIRBANKS INTERNATIONAL AIRPORT, AK US","2025-02-16","1.12",,"0.00","0.0","24.0","2","12","-9","  190","  100","6.0","6.0"
"USW00026411","FAIRBANKS INTERNATIONAL AIRPORT, AK US","2025-02-17","0.67",,"0.00","0.0","24.0","0","16","-10","   40","   40","6.0","6.0"
"USW00026411","FAIRBANKS INTERNATIONAL AIRPORT, AK US","2025-02-18","0.67",,"0.00","0.0","24.0","12","28","4","  170","   20","6.0","6.9"
"USW00026411","FAIRBANKS INTERNATIONAL AIRPORT, AK US","2025-02-19","4.03",,"0.00","0.0","24.0","11","26","1","   30","   30","13.0","16.1"
"USW00026411","FAIRBANKS INTERNATIONAL AIRPORT, AK US","2025-02-20","8.28",,"0.00","0.0","24.0","12","20","2","   10","   10","16.1","19.9"
"USW00026411","FAIRBANKS INTERNATIONAL AIRPORT, AK US","2025-02-21","6.93",,"0.00","0.0","24.0","14","23","2","   10","   20","13.0","16.1"
"USW00026411","FAIRBANKS INTERNATIONAL AIRPORT, AK US","2025-02-22","0.89",,"0.00","0.0","24.0","6","10","-5","  200","  190","4.9","6.0"
"USW00026411","FAIRBANKS INTERNATIONAL AIRPORT, AK US","2025-02-23","0.89",,"0.00","0.0","24.0","2","16","-9","  160","  150","8.1","8.9"
"USW00026411","FAIRBANKS INTERNATIONAL AIRPORT, AK US","2025-02-24","0.45",,"0.01","0.5","25.2","12","16","8","  180","  200","4.9","6.0"
"USW00026411","FAIRBANKS INTERNATIONAL AIRPORT, AK US","2025-02-25","3.36",,"0.00","0.0","25.2","10","17","-3","   20","   20","12.1","13.0"
"USW00026411","FAIRBANKS INTERNATIONAL AIRPORT, AK US","2025-02-26","6.04",,"0.00","0.0","25.2","4","17","-10","  360","   10","12.1","13.0"
"USW00026411","FAIRBANKS INTERNATIONAL AIRPORT, AK US","2025-02-27","3.58",,"0.00","0.0","25.2","11","25","4","   40","   20","10.1","12.1"
"USW00026411","FAIRBANKS INTERNATIONAL AIRPORT, AK US","2025-02-28","1.12",,"0.00","0.0","25.2","11","30","1","  200","  190","6.9","8.9"
"USW00026411","FAIRBANKS INTERNATIONAL AIRPORT, AK US","2025-03-01","0.45",,"0.00","0.0","25.2","11","27","-3","   30","   20","6.0","6.9"
"USW00026411","FAIRBANKS INTERNATIONAL AIRPORT, AK US","2025-03-02","1.79",,"0.00","0.0","25.2","11","40","-1","   20","   30","6.9","8.1"
"USW00026411","FAIRBANKS INTERNATIONAL AIRPORT, AK US","2025-03-03","1.79",,"0.00","0.0","25.2","19","41","6","   20","  280","6.9","8.9"
"USW00026411","FAIRBANKS INTERNATIONAL AIRPORT, AK US","2025-03-04","2.01",,"0.00","0.0","24.0","19","38","5","   30","   40","6.9","6.9"
"USW00026411","FAIRBANKS INTERNATIONAL AIRPORT, AK US","2025-03-05","2.68",,"0.00","0.0","24.0","24","42","14","  110","  120","8.9","14.1"
"USW00026411","FAIRBANKS INTERNATIONAL AIRPORT, AK US","2025-03-06","3.13",,"0.00","0.0","24.0","28","35","18","  260","  240","16.1","21.9"
"USW00026411","FAIRBANKS INTERNATIONAL AIRPORT, AK US","2025-03-07","5.37",,"0.05","0.9","24.0","28","33","21","  360","  350","14.1","18.1"
"USW00026411","FAIRBANKS INTERNATIONAL AIRPORT, AK US","2025-03-08","7.38",,"0.03","0.3","25.2","27","29","23","  360","  350","12.1","15.0"
"USW00026411","FAIRBANKS INTERNATIONAL AIRPORT, AK US","2025-03-09","8.05",,"0.00","0.0","25.2","22","34","3","   50","   60","15.0","21.0"
"USW00026411","FAIRBANKS INTERNATIONAL AIRPORT, AK US","2025-03-10","7.61",,"0.00","0.0","25.2","21","33","11","   10","   10","16.1","19.9"
"USW00026411","FAIRBANKS INTERNATIONAL AIRPORT, AK US","2025-03-11","8.95",,"0.00","0.0","24.0","20","25","4","   20","  360","17.0","19.9"
"USW00026411","FAIRBANKS INTERNATIONAL AIRPORT, AK US","2025-03-12","5.37",,"0.00","0.0","24.0","9","20","-9","   10","   10","13.0","16.1"
"USW00026411","FAIRBANKS INTERNATIONAL AIRPORT, AK US","2025-03-13","8.72",,"0.00","0.0","24.0","14","28","5","   10","   80","15.0","19.9"
"USW00026411","FAIRBANKS INTERNATIONAL AIRPORT, AK US","2025-03-14","8.50",,"0.00","0.0","24.0","18","31","5","  360","  360","15.0","18.1"
"USW00026411","FAIRBANKS INTERNATIONAL AIRPORT, AK US","2025-03-15","6.71",,"0.00","0.0","24.0","18","24","6","  340","  360","14.1","18.1"
"USW00026411","FAIRBANKS INTERNATIONAL AIRPORT, AK US","2025-03-16","3.36",,"0.00","0.0","24.0","9","16","-5","  360","  360","14.1","17.0"
"USW00026411","FAIRBANKS INTERNATIONAL AIRPORT, AK US","2025-03-17","10.07",,"0.00","0.0","24.0","7","15","-3","  360","  360","16.1","19.9"
"USW00026411","FAIRBANKS INTERNATIONAL AIRPORT, AK US","2025-03-18","7.61",,"0.00","0.0","24.0","4","17","-7","   20","   10","13.0","16.1"
"USW00026411","FAIRBANKS INTERNATIONAL AIRPORT, AK US","2025-03-19","4.92",,"0.00","0.0","24.0","13","19","1","  200","   20","13.0","14.1"
"USW00026411","FAIRBANKS INTERNATIONAL AIRPORT, AK US","2025-03-20","1.79",,"0.00","0.0","24.0","9","39","-5","  360","  350","10.1","13.0"
"USW00026411","FAIRBANKS INTERNATIONAL AIRPORT, AK US","2025-03-21","1.12",,"0.00","0.0","24.0","20","31","2","   20","   30","8.1","8.1"
"USW00026411","FAIRBANKS INTERNATIONAL AIRPORT, AK US","2025-03-22","2.24",,"0.00","0.0","24.0","18","42","2","   70","   70","8.9","12.1"
"USW00026411","FAIRBANKS INTERNATIONAL AIRPORT, AK US","2025-03-23","2.91",,"0.00","0.0","22.8","23","39","5","  350","  350","10.1","15.0"
"USW00026411","FAIRBANKS INTERNATIONAL AIRPORT, AK US","2025-03-24","4.92",,"0.00","0.0","22.8","24","39","4","  360","  350","12.1","15.0"
"USW00026411","FAIRBANKS INTERNATIONAL AIRPORT, AK US","2025-03-25","5.14",,"0.00","0.0","22.8","25","42","9","  360","  360","14.1","17.0"
"USW00026411","FAIRBANKS INTERNATIONAL AIRPORT, AK US","2025-03-26","4.47",,"0.00","0.0","22.8","25","33","4","  200","  200","12.1","14.1"
"USW00026411","FAIRBANKS INTERNATIONAL AIRPORT, AK US","2025-03-27","4.03",,"0.00","0.0","22.8","24","31","15","  330","  350","13.0","17.0"
"USW00026411","FAIRBANKS INTERNATIONAL AIRPORT, AK US","2025-03-28","2.24",,"0.00","0.0","22.8","18","21","3","  200","  200","8.1","10.1"
"USW00026411","FAIRBANKS INTERNATIONAL AIRPORT, AK US","2025-03-29","2.01",,"0.00","0.0","22.8","10","24","-4","  200","  220","8.1","10.1"
"USW00026411","FAIRBANKS INTERNATIONAL AIRPORT, AK US","2025-03-30","3.13",,"0.00","0.0","22.8","11","26","-5","  200","  190","10.1","12.1"
"USW00026411","FAIRBANKS INTERNATIONAL AIRPORT, AK US","2025-03-31","7.61",,"0.15","1.9","24.0","25","33","21","  200","  220","13.0","19.0"
"USW00026411","FAIRBANKS INTERNATIONAL AIRPORT, AK US","2025-04-01","10.51",,"0.29","3.5","25.2","34","36","32","  250","  260","21.0","31.1"
"USW00026411","FAIRBANKS INTERNATIONAL AIRPORT, AK US","2025-04-02","4.70",,"0.18","1.7","25.2","34","38","32","  220","  220","14.1","19.9"
"USW00026411","FAIRBANKS INTERNATIONAL AIRPORT, AK US","2025-04-03","2.91",,"0.00","0.0","25.2","36","46","31","  340","  340","8.9","12.1"
"USW00026411","FAIRBANKS INTERNATIONAL AIRPORT, AK US","2025-04-04","3.13",,"0.00",,"22.8","37","53","26","  360","  360","12.1","16.1"
"USW00026411","FAIRBANKS INTERNATIONAL AIRPORT, AK US","2025-04-05","2.01",,"0.00","0.0","22.8","42","51","33","   40",,"6.0",
"USW00026411","FAIRBANKS INTERNATIONAL AIRPORT, AK US","2025-04-06","6.26",,"0.04","0.4","22.8","38","40","23","  240","  220","18.1","25.1"
"USW00026411","FAIRBANKS INTERNATIONAL AIRPORT, AK US","2025-04-07","7.83",,"0.01","0.2","20.9","22","23","14","  270","  260","16.1","21.0"
"USW00026411","FAIRBANKS INTERNATIONAL AIRPORT, AK US","2025-04-08","3.13",,"0.00","0.0","20.9","16","27","13","  230","  220","12.1","15.0"
"USW00026411","FAIRBANKS INTERNATIONAL AIRPORT, AK US","2025-04-09","2.91",,"0.03","0.3","20.9","23","32","17","  230","  230","8.1","11.0"
"USW00026411","FAIRBANKS INTERNATIONAL AIRPORT, AK US","2025-04-10","4.47",,"0.00","0.0","20.9","21","37","8","  190","  200","14.1","19.0"
"USW00026411","FAIRBANKS INTERNATIONAL AIRPORT, AK US","2025-04-11","2.68",,"0.08","2.0","20.9","27","30","17","  250","  240","8.1","11.0"
"USW00026411","FAIRBANKS INTERNATIONAL AIRPORT, AK US","2025-04-12","5.59",,"0.00","0.0","20.9","24","44","7","   50","   60","13.0","17.0"
"USW00026411","FAIRBANKS INTERNATIONAL AIRPORT, AK US","2025-04-13","7.83",,"0.00","0.0","18.9","38","50","27","   90",,"12.1",
"USW00026411","FAIRBANKS INTERNATIONAL AIRPORT, AK US","2025-04-14","7.16",,"0.05","0.1","18.1","41","41","34","  230","  220","15.0","21.9"
"USW00026411","FAIRBANKS INTERNATIONAL AIRPORT, AK US","2025-04-15","3.80",,"0.00","0.0","18.1","35","48","30","  170",,"8.1",
"USW00026411","FAIRBANKS INTERNATIONAL AIRPORT, AK US","2025-04-16","6.04",,"0.00","0.0","15.0","38","46","27","   50",,"10.1",
"USW00026411","FAIRBANKS INTERNATIONAL AIRPORT, AK US","2025-04-17","6.49",,"0.02","0.0","14.2","44","58","35","  270","   99","14.1","31.1"
"USW00026411","FAIRBANKS INTERNATIONAL AIRPORT, AK US","2025-04-18","8.50",,"0.00","0.0","11.8","43","46","36","  270","  250","15.0","25.1"
"USW00026411","FAIRBANKS INTERNATIONAL AIRPORT, AK US","2025-04-19","8.72",,"0.00","0.0","9.8","38","40","33","  250","  240","17.0","21.9"
"USW00026411","FAIRBANKS INTERNATIONAL AIRPORT, AK US","2025-04-20","2.24",,"0.00","0.0","7.9","35","45","26","   30","  290","6.9","10.1"
"USW00026411","FAIRBANKS INTERNATIONAL AIRPORT, AK US","2025-04-21","1.12",,"0.00","0.0","7.1","38","50","27","  180",,"4.9",
"USW00026411","FAIRBANKS INTERNATIONAL AIRPORT, AK US","2025-04-22","2.68",,"0.00","0.0","3.9","42","51","34","  350",,"8.9",
"USW00026411","FAIRBANKS INTERNATIONAL AIRPORT, AK US","2025-04-23","11.63",,"0.00","0.0","0.0","43","49","36","  360",,"19.9",
"USW00026411","FAIRBANKS INTERNATIONAL AIRPORT, AK US","2025-04-24","11.63",,"0.00","0.0","0.0","39","48","33","  360",,"16.1",
"USW00026411","FAIRBANKS INTERNATIONAL AIRPORT, AK US","2025-04-25","8.72",,"0.00","0.0","0.0","40","54","33","   20",,"14.1",
"USW00026411","FAIRBANKS INTERNATIONAL AIRPORT, AK US","2025-04-26","7.38",,"0.00","0.0","0.0","43","57","33","   10","  350","14.1","17.0"
"USW00026411","FAIRBANKS INTERNATIONAL AIRPORT, AK US","2025-04-27","7.83",,"0.00","0.0","0.0","46","60","33","  360","  360","17.0","21.9"
"USW00026411","FAIRBANKS INTERNATIONAL AIRPORT, AK US","2025-04-28","8.28",,"0.00","0.0","0.0","47","54","37","  350","  340","14.1","19.0"
"USW00026411","FAIRBANKS INTERNATIONAL AIRPORT, AK US","2025-04-29","6.04",,"0.00","0.0","0.0","42","52","30","   80",,"10.1",
"USW00026411","FAIRBANKS INTERNATIONAL AIRPORT, AK US","2025-04-30","7.83",,"0.00","0.0","0.0","46","58","33","  360","  110","13.0","21.0"
